Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Pinder, C",OAK,Outfield,LF,110,298,43,77,12,1,13,27,27,88
"Mazara, N",TEX,Outfield,RF,128,489,61,126,25,1,20,77,40,116
"Carpenter, M",STL,Infield,3B,156,564,111,145,42,0,36,81,102,158
"Upton, J",LAA,Outfield,LF,145,533,80,137,18,1,30,85,64,176
"Pollock, A",ARI,Outfield,CF,113,413,61,106,21,5,21,65,31,100
"Allen, G",CLE,Outfield,CF,91,265,36,68,11,3,2,20,14,58
"Rosario, A",NYM,Infield,SS,154,554,76,142,26,8,9,51,29,119
"Cruz, N",SEA,DH,DH,144,519,70,133,18,1,37,97,55,122
"Hernandez, K",LAD,Outfield,CF,145,402,67,103,17,3,21,52,50,78
"Andrus, E",TEX,Infield,SS,97,395,53,101,20,3,6,33,28,66
"Williams, N",PHI,Outfield,RF,140,407,53,104,12,3,17,50,32,111
"Duggar, S",SF,Outfield,CF,41,141,20,36,11,1,2,17,10,44
"Schebler, S",CIN,Outfield,RF,107,380,55,97,19,0,17,49,39,99
"McCutchen, A",NYY,Outfield,RF,155,569,83,145,30,3,20,65,95,145
"Semien, M",OAK,Infield,SS,159,632,89,161,35,2,15,70,61,131
"Martin, L",CLE,Outfield,CF,84,318,48,81,15,3,11,33,30,77
"Herrera, O",PHI,Outfield,CF,148,550,64,140,19,3,22,71,38,122
"Wynns, A",BAL,Battery,C,42,110,16,28,2,0,4,11,5,25
"Braun, R",MIL,Outfield,LF,125,405,59,103,25,1,20,64,34,85
"Crawford, B",SF,Infield,SS,151,531,63,135,28,2,14,54,50,122
"Ramirez, H",BOS,Infield,1B,44,177,25,45,7,0,6,29,14,35
"Panik, J",SF,Infield,2B,102,358,38,91,14,1,4,24,26,30
"O'Neill, T",STL,Outfield,LF,61,130,29,33,5,0,9,23,7,57
"Profar, J",TEX,Infield,SS,146,524,82,133,35,6,20,77,54,88
"Polanco, G",PIT,Outfield,RF,130,461,75,117,32,6,23,81,61,117
"Taylor, C",LAD,Infield,SS,155,536,85,136,35,8,17,63,55,178
"Cron, C",TB,Infield,1B,140,501,68,127,28,1,30,74,37,145
"Stevenson, A",WSH,Outfield,LF,57,75,9,19,2,0,1,13,6,23
"Myers, W",SD,Outfield,LF,83,312,39,79,25,1,11,39,30,94
"Odor, R",TEX,Infield,2B,129,474,76,120,23,2,18,63,43,127
"Perez, H",MIL,Infield,2B,132,316,36,80,11,2,9,29,17,71
"Belt, B",SF,Infield,1B,112,399,50,101,18,2,14,46,49,107
"Hernandez, C",PHI,Infield,2B,161,605,91,153,15,3,15,60,95,155
"Hosmer, E",SD,Infield,1B,157,613,72,155,31,2,18,69,62,142
"Ervin, P",CIN,Outfield,RF,78,218,27,55,10,1,7,31,20,60
"McKinney, B",TOR,Outfield,LF,38,119,14,30,7,0,6,13,11,33
"Rojas, M",MIA,Infield,SS,153,488,44,123,13,0,11,53,24,69
"Pillar, K",TOR,Outfield,CF,142,512,65,129,40,2,15,59,18,98
"Hanson, A",SF,Infield,2B,110,294,36,74,17,5,8,39,9,71
"Pina, M",MIL,Battery,C,98,306,39,77,13,2,9,28,21,62
"Moustakas, M",MIL,Infield,3B,152,573,66,144,33,1,28,95,49,103
"Mercer, J",PIT,Infield,SS,117,394,43,99,29,2,6,39,32,87
"Slater, A",SF,Outfield,LF,74,199,21,50,6,1,1,23,20,69
"Adrianza, E",MIN,Infield,SS,114,335,42,84,23,1,6,39,24,82
"Martinez, V",DET,DH,DH,133,467,32,117,21,0,9,54,32,49
"Alonso, Y",CLE,Infield,1B,145,516,64,129,19,0,23,83,51,123
"Anderson, B",OAK,Battery,P,2,4,0,1,0,0,0,0,0,0
"Bieber, S",CLE,Battery,P,2,4,0,1,1,0,0,0,1,2
"Carrasco, C",CLE,Battery,P,1,4,0,1,0,0,0,1,0,2
"Fillmyer, H",KC,Battery,P,2,4,0,1,1,0,0,1,0,3
"Gonzalez, M",MIA,Battery,P,7,4,0,1,0,0,0,0,0,2
"Graterol, J",CIN,Battery,C,4,8,2,2,0,0,0,0,1,0
"Harrison, J",PIT,Infield,2B,97,344,41,86,13,1,8,37,18,68
"Hutchison, D",TEX,Battery,P,11,4,0,1,0,0,0,0,1,2
"Johnson, B",BOS,Battery,P,2,4,1,1,0,0,0,0,0,1
"Perdomo, L",SD,Battery,P,10,8,0,2,0,0,0,1,0,3
"Plouffe, T",PHI,Infield,3B,7,12,1,3,0,0,1,3,0,6
"Russell, A",CHC,Infield,SS,130,420,52,105,21,1,5,38,40,99
"Stewart, D",BAL,Outfield,RF,17,40,8,10,3,0,3,10,4,12
"Trevino, J",TEX,Battery,C,3,8,0,2,0,0,0,3,0,1
"Williams, T",MIL,Battery,P,52,4,0,1,0,0,0,0,0,3
"Woodruff, B",MIL,Battery,P,19,8,2,2,0,0,1,1,1,1
"Morales, K",TOR,DH,DH,130,413,47,103,15,0,21,57,50,95
"Canha, M",OAK,Outfield,CF,122,365,60,91,22,0,17,52,34,88
"Wong, K",STL,Infield,2B,127,353,41,88,18,2,9,38,31,60
"Harper, B",WSH,Outfield,RF,159,550,103,137,34,0,34,100,130,169
"Contreras, W",CHC,Battery,C,138,474,50,118,27,5,10,54,53,121
"Pirela, J",SD,Infield,2B,146,438,54,109,23,2,5,32,30,89
"Maybin, C",SEA,Outfield,LF,129,342,32,85,14,2,4,28,38,75
"Renfroe, H",SD,Outfield,RF,117,403,53,100,23,1,26,68,30,109
"Pederson, J",LAD,Outfield,LF,148,395,65,98,27,3,25,56,40,85
"Hicks, A",NYY,Outfield,CF,137,480,90,119,18,3,27,79,90,111
"Barnhart, T",CIN,Battery,C,138,460,50,114,21,3,10,46,54,96
"Miller, B",MIL,Infield,2B,75,230,21,57,13,2,7,29,22,82
"Sandoval, P",SF,Infield,3B,92,230,22,57,10,1,9,40,19,52
"Reynolds, M",WSH,Infield,1B,86,206,26,51,8,0,13,40,24,64
"Maile, L",TOR,Battery,C,68,202,22,50,13,1,3,27,25,67
"Galvis, F",SD,Infield,SS,162,602,62,149,31,5,13,67,45,147
"Gonzalez, M",HOU,Outfield,LF,145,489,61,121,25,3,16,68,53,126
"Jansen, D",TOR,Battery,C,31,81,12,20,6,0,3,8,9,17
"Hechavarria, A",NYY,Infield,SS,94,296,34,73,11,0,6,31,16,58
"Olson, M",OAK,Infield,1B,162,580,85,143,33,0,29,84,70,163
"Davis, K",OAK,Outfield,LF,151,576,98,142,28,1,48,123,59,175
"Lin, T",BOS,Infield,SS,37,65,15,16,6,1,1,6,8,17
"Saladino, T",MIL,Infield,SS,58,126,13,31,4,0,5,16,9,41
"Encarnacion, E",CLE,DH,DH,137,500,74,123,16,1,32,107,63,132
"Donaldson, J",CLE,Infield,3B,52,187,30,46,14,0,8,23,31,54
"Petit, G",MIN,Infield,SS,26,61,7,15,2,0,0,3,6,14
